"method","n","wavelength_um","plate_start_um","plate_end_um","angle_deg","skin_depth_um","c_back_um","c_forward_um","c_abs_um","c_ext_um","back_pct_geometric_reference","optical_error_pct_extinction","local_error_pct_geometric_reference","mean_boundary_residual","max_edge_boundary_residual"
"galerkin","10","1","-1.5","-0.5","90","0.01","0.8559813109641078","0.8559813109641081","0.12754634939016","1.8395089713482087","85.59813109641078","1.6217829636943203E-09","5.160213196048269E-09","0.007123829081004456","0.0892385521740942"
"collocation","30","1","-1.5","-0.5","10","0.01","0.39892377360838244","0.39892377360838255","0.07259482209453914","0.8704459557203246","229.73104524802258","0.00041201972355759867","0.002065330201693335","9.969678814973993E-05","0.00937321428893563"
"galerkin","30","1","-1.5","-0.5","10","0.01","0.39892836974484175","0.398928369744841","0.07257918275125116","0.8704359222432063","229.73369205752041","2.6106665787738483E-10","8.706245460800504E-10","0.00011441284451949237","0.010827598581007812"
"collocation","30","1","-1.5","-0.5","45","0.01","0.6097396387091832","0.609739638709183","0.08341897953023839","1.3029018199959603","86.23020665789979","0.0002734701342052756","0.0005038909793162044","9.425723719248567E-05","0.008878002638150992"
"galerkin","30","1","-1.5","-0.5","45","0.01","0.6097424571371027","0.6097424571371025","0.08340373435162841","1.3028886486280273","86.23060524379864","1.683746791872678E-10","3.004378145578321E-10","0.0001103953813424543","0.01013834211885827"
"collocation","30","1","-1.5","-0.5","90","0.01","0.8558525736552923","0.8558525736552925","0.12848200925121236","1.8401907856104194","85.58525736552923","0.0001972104550493144","0.00036290491776500857","0.00012703391580754785","0.007085176409836633"
"galerkin","30","1","-1.5","-0.5","90","0.01","0.85585205567874","0.8558520556787403","0.12846569003998035","1.8401698013995622","85.58520556787401","1.1420613704643417E-10","2.661399808707519E-10","0.00012754928791824976","0.00841494981937888"
"collocation","55","1","-1.5","-0.5","10","0.01","0.398927636510391","0.3989276365103907","0.07258164905705225","0.8704370369847056","229.73326980462923","1.32010549633643E-05","6.617213204863325E-05","4.8246834136822076E-06","0.002663387786566702"
"galerkin","55","1","-1.5","-0.5","10","0.01","0.3989279826253457","0.3989279826253456","0.07258023873429639","0.870436203985077","229.7334691242877","1.0256513059214212E-11","4.6375308190273834E-11","9.805172962259104E-06","0.0029559553129678237"
"collocation","55","1","-1.5","-0.5","45","0.01","0.6097417874526598","0.6097417874526597","0.08340608261130365","1.3028897720970858","86.23051053611647","8.794332787841645E-06","1.6204099984248382E-05","6.417568613715848E-06","0.0025249626011978493"
"galerkin","55","1","-1.5","-0.5","45","0.01","0.6097419813900866","0.6097419813900868","0.08340469026276211","1.30288865304303","86.23053796301038","7.242096654207953E-12","1.0867628072362008E-11","1.1142544355133143E-05","0.002820139202591662"
"collocation","55","1","-1.5","-0.5","90","0.01","0.8558515500327419","0.855851550032742","0.12846825896340297","1.8401714784501728","85.5851550032742","6.489682485051226E-06","1.194211180219044E-05","4.724452339747503E-06","0.0020087132777935495"
"galerkin","55","1","-1.5","-0.5","90","0.01","0.8558514547384893","0.855851454738489","0.12846679522238233","1.8401697046994538","85.58514547384894","5.054618302161918E-12","7.507876023076935E-12","1.0683459647439669E-05","0.002195725848475824"
"collocation","80","1","-1.5","-0.5","10","0.01","0.3989279073206058","0.3989279073206056","0.0725805762489692","0.8704364041526668","229.73342575801638","1.5236594082563059E-06","7.637428161796917E-06","1.2679553902533358E-06","0.001243508247571089"
"galerkin","80","1","-1.5","-0.5","10","0.01","0.39892797940335806","0.3989279794033581","0.07258025940525353","0.8704362182119803","229.73346726881897","1.2058126981882457E-12","1.265743189421429E-10","2.4328949359557593E-06","0.001375178767719751"
"collocation","80","1","-1.5","-0.5","45","0.01","0.6097419359388496","0.6097419359388502","0.08340502310001799","1.3028889082602908","86.2305315352348","1.019470881450704E-06","1.8784081273264906E-06","1.2044715939963696E-06","0.0011785245439127267"
"galerkin","80","1","-1.5","-0.5","45","0.01","0.6097419736896976","0.6097419736896975","0.08340471043548144","1.3028886578148955","86.23053687401094","1.452487919147773E-12","2.871962507143172E-11","2.521220498714033E-06","0.0012977818315656957"
"collocation","80","1","-1.5","-0.5","90","0.01","0.8558514715656285","0.8558514715656286","0.12846714389616737","1.8401701008830766","85.58514715656284","7.529549760156613E-07","1.3855443944740911E-06","1.612668069294909E-06","0.0009384848015194568"
"galerkin","80","1","-1.5","-0.5","90","0.01","0.8558514466613371","0.8558514466613374","0.1284668138064703","1.8401697071291547","85.5851446661337","5.492480366677649E-13","1.946146070091065E-11","2.588054149707966E-06","0.001048510886804641"
