ThetaDeg;N;SkinDepth;IdealBcErrorPct;SkinBcErrorPct;BcAbsDiffPct;IdealEnergyTotalPct;SkinEnergyTotalPct;EnergyTotalAbsDiffPct;IdealReflectedPct;SkinReflectedPct;ReflectedAbsDiffPct;IdealTransmittedPct;SkinTransmittedPct;AbsorbedSkinPct
0;5;0.10000000000000001;2.5135369022092378;15.189311229882382;12.675774327673144;82496.665051581804;173.62805290158437;82323.036998680225;82496.665051581804;172.90102391596034;82323.764027665849;0;0;0.72702898562400564
0;5;0.01;2.5135369022092378;7.2721438255645445;4.7586069233553072;82496.665051581804;3900.8051655602758;78595.859886021528;82496.665051581804;3898.4318966250667;78598.233154956732;0;0;2.3732689352094032
0;5;0.001;2.5135369022092378;3.338349430493595;0.82481252828435736;82496.665051581804;68798.136481641952;13698.528569939852;82496.665051581804;68797.808504135464;13698.856547446339;0;0;0.32797750650671531
0;10;0.10000000000000001;0.0006366866840683274;0.52415951239540348;0.52352282571133524;83171.348911908019;135.23197101390943;83036.116940894106;83171.348911908019;134.53868731785849;83036.810224590154;0;0;0.69328369605092088
0;10;0.01;0.0006366866840683274;0.40671323371927948;0.40607654703521112;83171.348911908019;8933.2855317919784;74238.063380116044;83171.348911908019;8930.9640541098524;74240.38485779817;0;0;2.3214776821252152
0;10;0.001;0.0006366866840683274;0.22788225656978378;0.22724556988571545;83171.348911908019;57428.373811407058;25742.97510050096;83171.348911908019;57428.054074774351;25743.294837133668;0;0;0.31973663270382857
0;20;0.10000000000000001;1.9656113258792911E-05;0.088395123280684829;0.088375467167426031;57196.667854169107;150.97978597790888;57045.688068191201;57196.667854169107;150.28458433590362;57046.383269833204;0;0;0.69520164200525281
0;20;0.01;1.9656113258792911E-05;0.062286995977369253;0.062267339864110462;57196.667854169107;11832.963394286358;45363.704459882749;57196.667854169107;11830.622415694594;45366.04543847451;0;0;2.3409785917651549
0;20;0.001;1.9656113258792911E-05;0.035990903715580294;0.035971247602321503;57196.667854169107;38157.519172827713;19039.148681341394;57196.667854169107;38157.180542578826;19039.487311590281;0;0;0.33863024888728865
0;30;0.10000000000000001;7.3117090783610511E-06;0.027572612964425595;0.027565301255347237;10066.439895946925;367.48885999649923;9698.9510359504256;10066.439895946925;366.79296464615896;9699.6469313007656;0;0;0.69589535034023897
0;30;0.01;7.3117090783610511E-06;0.018925264044282568;0.018917952335204206;10066.439895946925;35453.060403701973;25386.620507755048;10066.439895946925;35450.713893804001;25384.273997857075;0;0;2.3465098979678385
0;30;0.001;7.3117090783610511E-06;0.009181758938740547;0.0091744472296621856;10066.439895946925;38408.663782634423;28342.223886687498;10066.439895946925;38408.318062837367;28341.878166890441;0;0;0.3457197970543196
0;60;0.10000000000000001;7.9502839941562997E-07;0.003464216097154514;0.0034634210687550984;52381.690447560621;434.97215583533364;51946.718291725287;52381.690447560621;434.27624242607396;51947.414205134548;0;0;0.69591340925969314
0;60;0.01;7.9502839941562997E-07;0.0023166617235884698;0.0023158666951890541;52381.690447560621;36875.533484278109;15506.156963282512;52381.690447560621;36873.185820387436;15508.504627173184;0;0;2.3476638906711358
0;60;0.001;7.9502839941562997E-07;0.00091237712280430342;0.00091158209440488785;52381.690447560621;43589.734769214927;8791.9556783456937;52381.690447560621;43589.387549497711;8792.3028980629097;0;0;0.34721971721171985
30;5;0.10000000000000001;1.6728718752361607;20.10068025053954;18.427808375303378;62276.733711452223;1612.7511647842641;60663.982546667961;62276.733711452223;1612.3036775445398;60664.430033907687;0;0;0.44748723972419635
30;5;0.01;1.6728718752361607;4.4136516058791644;2.7407797306430037;62276.733711452223;15138.602221339559;47138.131490112661;62276.733711452223;15135.846323356762;47140.887388095463;0;0;2.755897982797916
30;5;0.001;1.6728718752361607;2.1080087842960662;0.43513690905990565;62276.733711452223;41068.052126275084;21208.681585177139;62276.733711452223;41067.694625606004;21209.03908584622;0;0;0.35750066908918054
30;10;0.10000000000000001;0.00037407490065308245;1.2244492966849692;1.2240752217843161;63916.411404437531;1675.7677882712389;62240.643616166293;63916.411404437531;1675.355995713996;62241.055408723536;0;0;0.41179255724280484
30;10;0.01;0.00037407490065308245;0.45732356920084721;0.45694949430019416;63916.411404437531;20461.100894753345;43455.31050968419;63916.411404437531;20458.383164730152;43458.028239707375;0;0;2.717730023192872
30;10;0.001;0.00037407490065308245;0.2958178167608283;0.29544374186017519;63916.411404437531;25984.588152683351;37931.823251754176;63916.411404437531;25984.240133900261;37932.17127053727;0;0;0.34801878309700313
30;20;0.10000000000000001;2.776046152151186E-05;0.20040180097778962;0.20037404051626812;49778.038095561395;1190.8542014332109;48587.183894128182;49778.038095561395;1190.4445283661139;48587.593567195283;0;0;0.40967306709681361
30;20;0.01;2.776046152151186E-05;0.06995024111395523;0.069922480652433713;49778.038095561395;13729.366211538567;36048.671884022828;49778.038095561395;13726.621739801754;36051.41635575964;0;0;2.7444717368146727
30;20;0.001;2.776046152151186E-05;0.045191423191051364;0.045163662729529847;49778.038095561395;25426.480772388393;24351.557323173001;49778.038095561395;25426.10649921927;24351.931596342125;0;0;0.37427316912209679
30;30;0.10000000000000001;1.0340792434327359E-05;0.062443982572221897;0.062433641779787566;36227.874729970055;2684.6384679109788;33543.236262059079;36227.874729970055;2684.2295616747874;33543.645168295268;0;0;0.40890623619110705
30;30;0.01;1.0340792434327359E-05;0.021343989889620187;0.021333649097185856;36227.874729970055;37295.813726253808;1067.9389962837522;36227.874729970055;37293.061655545003;1065.186925574948;0;0;2.7520707087935627
30;30;0.001;1.0340792434327359E-05;0.011452584838757426;0.011442244046323097;36227.874729970055;64450.537255437746;28222.662525467691;36227.874729970055;64450.152678847357;28222.277948877301;0;0;0.38457659039100178
30;60;0.10000000000000001;1.1205298818833052E-06;0.007803224147413401;0.0078021036175315176;69918.756632053148;2822.5706077015379;67096.186024351613;69918.756632053148;2822.1616342495163;67096.594997803637;0;0;0.40897345202177704
30;60;0.01;1.1205298818833052E-06;0.0025889756724240941;0.0025878551425422111;69918.756632053148;33891.210512721227;36027.546119331921;69918.756632053148;33888.456787774485;36030.299844278663;0;0;2.7537249467383806
30;60;0.001;1.1205298818833052E-06;0.0011336700618547078;0.0011325495319728244;69918.756632053148;59571.666498121216;10347.090133931932;69918.756632053148;59571.279807828294;10347.476824224854;0;0;0.38669029291937879
60;5;0.10000000000000001;1.4518396137745939;7.2529020927501628;5.8010624789755685;42385.563271629784;18474.753428911012;23910.809842718772;42385.563271629784;18474.237070116436;23911.326201513348;0;0;0.51635879457837319
60;5;0.01;1.4518396137745939;5.1059173850131572;3.6540777712385633;42385.563271629784;61616.226656989464;19230.66338535968;42385.563271629784;61612.208731368548;19226.645459738764;0;0;4.0179256209060137
60;5;0.001;1.4518396137745939;2.2526148191547102;0.80077520538011615;42385.563271629784;77926.032036374061;35540.468764744277;42385.563271629784;77925.293495575097;35539.730223945313;0;0;0.7385407989720163
60;10;0.10000000000000001;0.00038568798308145512;1.7707725524795055;1.770386864496424;37532.177488164656;22280.812820417494;15251.364667747163;37532.177488164656;22280.369947884417;15251.807540280239;0;0;0.44287253307500041
60;10;0.01;0.00038568798308145512;0.38631926497757196;0.38593357699449049;37532.177488164656;70182.801289053663;32650.623800889007;37532.177488164656;70178.829837076657;32646.652348912001;0;0;3.9714519769967813
60;10;0.001;0.00038568798308145512;0.30082238550578466;0.30043669752270319;37532.177488164656;104445.33529033991;66913.15780217525;37532.177488164656;104444.63602552407;66912.458537359416;0;0;0.69926481583465805
60;20;0.10000000000000001;3.7531825978579482E-05;0.30928097854005104;0.3092434467140725;33612.883318675515;12242.977680990996;21369.905637684518;33612.883318675515;12242.543718264067;21370.339600411447;0;0;0.43396272692838439
60;20;0.01;3.7531825978579482E-05;0.063048131423514994;0.063010599597536424;33612.883318675515;32711.553544151251;901.32977452426348;33612.883318675515;32707.551567559229;905.33175111628589;0;0;4.0019765920222179
60;20;0.001;3.7531825978579482E-05;0.049006437124210316;0.048968905298231738;33612.883318675515;21054.33657598924;12558.546742686274;33612.883318675515;21053.577423114431;12559.305895561083;0;0;0.75915287480883298
60;30;0.10000000000000001;1.4096751982457625E-05;0.098401556065036574;0.098387459313054121;153980.76886292285;28019.440550607716;125961.32831231513;153980.76886292285;28019.009713973348;125961.7591489495;0;0;0.43083663436273478
60;30;0.01;1.4096751982457625E-05;0.019492001005981835;0.019477904253999378;153980.76886292285;85578.780607749723;68401.988255173128;153980.76886292285;85574.769083823747;68405.999779099104;0;0;4.0115239259663502
60;30;0.001;1.4096751982457625E-05;0.012880807656264351;0.012866710904281894;153980.76886292285;184537.72968949977;30556.96082657692;153980.76886292285;184536.94590736585;30556.177044443;0;0;0.7837821338800226
60;60;0.10000000000000001;1.5129513476178459E-06;0.011843140729558312;0.011841627778210694;121675.68361824771;22960.833945539922;98714.849672707787;121675.68361824771;22960.403051079276;98715.280567168433;0;0;0.43089446064667375
60;60;0.01;1.5129513476178459E-06;0.0023275627878576958;0.002326049836510078;121675.68361824771;59016.117205559269;62659.566412688444;121675.68361824771;59012.104267515009;62663.579350732703;0;0;4.0129380442602969
60;60;0.001;1.5129513476178459E-06;0.0012538588862925312;0.0012523459349449134;121675.68361824771;120300.48717822683;1375.1964400208817;121675.68361824771;120299.69864376544;1375.9849744822714;0;0;0.78853446137068706
90;5;0.10000000000000001;0.37593159040017921;7.389649087400131;7.0137174969999521;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
