x;collocation_re;collocation_im;collocation_abs;galerkin_re;galerkin_im;galerkin_abs;abs_difference
-0.99750000000000005;0.23850328863965553;-0.95314252754092343;0.98252964153710431;0.23303194770802982;-0.95398311792059498;0.98203242203610452;0.0055355364488438941
-0.99250000000000005;0.29439786888929764;-0.94709623595839076;0.99179704847973404;0.2923403983410936;-0.94646878622410191;0.99058875008691372;0.0021510179510608927
-0.98750000000000004;0.34570666449857457;-0.94165343631142706;1.0031073182844639;0.34385139055433023;-0.9408727631339795;1.0017361604701689;0.0020128318405117774
-0.98250000000000004;0.39364676007795246;-0.93638384791022899;1.0157620205279561;0.39103687988758945;-0.9358850319106925;1.0142931698412936;0.0026571210001508899
-0.97750000000000004;0.43905602749651185;-0.93099513480482332;1.0293309168150293;0.43578508116743042;-0.93078154779514644;1.0277465284222722;0.0032779123384303562
-0.97250000000000003;0.48250322897255138;-0.92529275884578022;1.043540155212713;0.47902454003881867;-0.92520179036608075;1.0418554903901034;0.0034798781533227929
-0.96750000000000003;0.52436901126960422;-0.9191503642268426;1.058206148176337;0.52113766065996558;-0.91899822615343085;1.0564763135211759;0.0032349301006039436
-0.96250000000000002;0.56490442107011352;-0.91248844556315001;1.0731971711809596;0.56222463884243457;-0.91213790280472751;1.0714905964377439;0.0027026122572922692
-0.95750000000000002;0.60427363693397762;-0.90525849853601126;1.0884114927108635;0.60226472999952851;-0.90464018835922255;1.0867827176561167;0.0021019073590427782
-0.95250000000000001;0.64258290087691672;-0.89743265369945557;1.1037654426668015;0.6412063146705802;-0.89654080955648285;1.1022390671599427;0.0016402364338200474
-0.94750000000000001;0.67990148737304401;-0.88899584487385663;1.1191870463577835;0.67901264080355528;-0.88787208389090988;1.1177544469711604;0.0014327899255945867
-0.9425;0.71627548308307676;-0.87994078831104638;1.1346128672808893;0.71567884526015946;-0.87865444571403484;1.133238652943833;0.001417975306069153
-0.9375;0.7517366145025135;-0.87026489812762398;1.1499864914410014;0.75123254296926434;-0.8688947893071125;1.1486202542620947;0.0014598925613467247
-0.9325;0.78630806026246114;-0.85996819162369453;1.1652577638609587;0.78572653470158882;-0.85858822559897641;1.1638470382620587;0.0014974906368068603
-0.92749999999999999;0.82000790514772492;-0.84905210060826297;1.180382325372616;0.81922838349336147;-0.84772157166008122;1.1788837972332067;0.0015420639712966462
-0.92249999999999999;0.85285107496500778;-0.83751885330478892;1.1953212060822556;0.85181002636342162;-0.83627726180952933;1.1937084986012696;0.0016202875152161913
