# mode=одна пластина
# N=10
# lambda=1
# angle_degrees=45
# skin_depth=0.01
# alpha1=-1.5
# beta1=-0.5
# field_z=0.10000000000000001
slice_x;collocation_no_skin_re;collocation_skin_re;method_x;collocation_skin_re_method;galerkin_skin_re;abs_collocation_minus_galerkin
-1.5;0.37571635822830418;0.58014998352735858;-1.49875;0.57529310007860857;0.58003060979505461;0.0054327520690235481
-1.4990000000000001;0.3711396855664949;0.57626577794482281;-1.4962500000000001;0.56553131052771921;0.57027314500412252;0.0054271768034596327
-1.498;0.36656355523135564;0.57237120791259166;-1.4937499999999999;0.55570781581529249;0.5604520126906829;0.0054202381395001232
-1.4970000000000001;0.36198819519723269;0.5684664529746728;-1.49125;0.54582537797366415;0.55057004859910386;0.0054119784177055008
-1.496;0.35741382963054524;0.56455169195250998;-1.48875;0.53588672293074902;0.54063006085314269;0.0054024472105196905
-1.4950000000000001;0.35284067880500791;0.56062710289548878;-1.4862500000000001;0.52589453626304705;0.53063482494685288;0.0053917007945633805
-1.494;0.34826895902242438;0.55669286303245591;-1.4837499999999999;0.51585145929989729;0.52058707896080092;0.0053798015190492723
-1.4930000000000001;0.34369888253926584;0.55274914872437431;-1.48125;0.50576008561068675;0.51048951905071416;0.0053668170832063917
-1.492;0.3391306574991334;0.5487961354181522;-1.47875;0.49562295789876276;0.50034479525059128;0.0053528197378190697
-1.4910000000000001;0.33456448787127313;0.54483399760175677;-1.4762500000000001;0.48544256531770502;0.49015550762652615;0.0053378854276906213
-1.49;0.33000057339520394;0.5408629087606458;-1.4737499999999999;0.47522134121759807;0.47992420281101855;0.0053220928927988692
-1.4890000000000001;0.32543910953157951;0.53688304133561582;-1.4712499999999999;0.46496166132130134;0.46965337094082893;0.0053055227463515734
-1.488;0.32088028741930541;0.53289456668209478;-1.46875;0.45466584232365359;0.45934544301446478;0.0052882565476353787
-1.4870000000000001;0.31632429383898286;0.52889765503096364;-1.4662500000000001;0.44433614090027751;0.44900278867858057;0.0052703758867525836
-1.486;0.31177131118266888;0.52489247545092821;-1.4637500000000001;0.43397475310719247;0.43862771444591186;0.0052519614970191067
-1.4850000000000001;0.30722151742996051;0.52087919581251096;-1.4612499999999999;0.4235838141480277;0.42822246234118355;0.0052330924090767932
-1.484;0.30267508613037153;0.51685798275367834;-1.45875;0.41316539848212919;0.41778920896573479;0.0052138451587990338
-1.4830000000000001;0.29813218639195804;0.51282900164716272;-1.45625;0.40272152024435115;0.40733006496655477;0.005194293058921582
-1.482;0.29359298287611535;0.50879241656947771;-1.4537500000000001;0.39225413394574959;0.39684707489106785;0.0051745055421193609
-1.4810000000000001;0.28905763579846921;0.5047483902716815;-1.4512499999999999;0.38176513542361701;0.38634221740536023;0.0051545475811024567
-1.48;0.28452630093574993;0.50069708415187408;-1.44875;0.37125636300931109;0.37581740585065826;0.0051344791892694672
-1.4790000000000001;0.27999912963853291;0.49663865822947262;-1.44625;0.36072959888291856;0.36527448911065152;0.0051143550035947167
-1.478;0.27547626884968668;0.49257327112123866;-1.4437500000000001;0.35018657058496938;0.35471525276080018;0.0050942239498233417
-1.4770000000000001;0.27095786112840037;0.48850108001909531;-1.4412499999999999;0.3396289526569285;0.34414142046985485;0.005074128988656593
-1.476;0.26644404467959704;0.48442224066969441;-1.43875;0.32905836838405667;0.33355465562354325;0.0050541069404987987
-1.4750000000000001;0.26193495338856299;0.48033690735576229;-1.43625;0.3184763916162584;0.32295656314055288;0.0050341883854510714
-1.474;0.25743071686058239;0.47624523287918075;-1.4337500000000001;0.3078845486447368;0.31234869145161215;0.005014397634581641
-1.4730000000000001;0.25293146046540138;0.47214736854581496;-1.4312499999999999;0.29728432011445405;0.3017325346134242;0.0049947527680288513
-1.472;0.2484373053862593;0.4680434641520389;-1.42875;0.28667714295462765;0.29110953453052302;0.0049752657351765572
-1.4710000000000001;0.24394836867330782;0.46393366797296642;-1.42625;0.27606441231160361;0.28048108325960741;0.0049559425119646743
-1.47;0.23946476330115329;0.45981812675232769;-1.4237500000000001;0.26544748347053393;0.26984852537260928;0.0049367833102719359
-1.4690000000000001;0.23498659823031398;0.45569698569399197;-1.4212499999999999;0.25482767375416127;0.25921316035651831;0.0049177828343000222
-1.468;0.2305139784723117;0.45157038845506703;-1.41875;0.24420626438885196;0.24857624502986531;0.0048989305788543222
-1.4670000000000001;0.22604700515820131;0.44743847714057872;-1.41625;0.23358450232957673;0.23793899595760426;0.0048802111644793934
-1.466;0.22158577561024195;0.44330139229964838;-1.4137500000000001;0.22296360203711518;0.22730259184806034;0.0048616047043930381
-1.4650000000000001;0.21713038341649926;0.43915927292316526;-1.4112499999999999;0.21234474720200613;0.21666817591738763;0.0048430871982420411
-1.464;0.21268091850810833;0.43501225644287755;-1.4087499999999999;0.2017290924109908;0.20603685820878359;0.0048246309477174469
-1.4630000000000001;0.20823746723895775;0.43086047873188238;-1.40625;0.19111776475272546;0.19540971785538397;0.0048062049891207208
-1.462;0.20380011246754937;0.42670407410644184;-1.4037500000000001;0.18051186536045183;0.18478780527737981;0.0047877755380396243
-1.4610000000000001;0.19936893364079089;0.42254317532910479;-1.4012500000000001;0.16991247089010919;0.17417214430538608;0.0047693064413435312
-1.46;0.19494400687947888;0.41837791361305299;-1.3987499999999999;0.15932063493302973;0.16356373422349479;0.0047507596318402375
-1.4590000000000001;0.1905254050652514;0.41420841862765201;-1.39625;0.14873738936297054;0.15296355172673759;0.004732095581026427
-1.458;0.18611319792875769;0.41003481850512746;-1.39375;0.13816374561767819;0.14237255278884797;0.0047132737455660711
-1.4570000000000001;0.18170745213885486;0.40585723984833888;-1.3912500000000001;0.12760069591564893;0.13179167443732021;0.0046942530033024015
-1.456;0.17730823139258467;0.40167580773957667;-1.3887499999999999;0.11704921440902682;0.12122183643368534;0.0046749920748723082
-1.4550000000000001;0.17291559650574551;0.39749064575035487;-1.38625;0.10651025827390415;0.11066394285783476;0.0046554499272610855
-1.454;0.16852960550384177;0.39330187595211741;-1.38375;0.09598476873948536;0.100118883595957;0.0046355861559549813
-1.4530000000000001;0.16415031371323419;0.38910961892784246;-1.3812500000000001;0.085473672057763461;0.089587535732380985;0.0046153613427202646
-1.452;0.15977777385228731;0.3849139937844529;-1.3787499999999999;0.074977880415496689;0.079070764846166042;0.0045947373863818117
-1.4510000000000001;0.15541203612235965;0.38071511816602488;-1.37625;0.064498292790364564;0.0685694262138411;0.0045736778044095068
-1.45;0.15105314829844541;0.37651310826770457;-1.37375;0.054035795753264226;0.058084365920116565;0.0045521480035207625
-1.4490000000000001;0.14670115581934229;0.37230807885032002;-1.3712500000000001;0.043591264218756698;0.047616421878787674;0.0045301155179314828
-1.448;0.14235610187715231;0.36810014325560447;-1.3687499999999999;0.033165562145697214;0.037166424766357675;0.004507550214317071
-1.4470000000000001;0.13801802750602599;0.3638894134220243;-1.36625;0.022759543190088882;0.026735198871181254;0.0044844244629636534
-1.446;0.13368697166997123;0.35967599990112131;-1.36375;0.012374051312202927;0.016323562861139562;0.0044607132749960718
-1.4450000000000001;0.12936297134964458;0.35546001187436738;-1.3612500000000001;0.0020099213399910054;0.0059323304730228843;0.0044363944059483702
