ThetaDeg;N;SkinDepth;SolveResult;BcErrorPct;HelmholtzResidual;Incident;ReflectedPct;TransmittedPct;AbsorbedPct;EnergyTotalPct;EnergyBalanceErrorPct;TransmittedThroughStrip;SolveTimeMs;MetricsTimeMs;ErrorMessage
0;5;0;1;2.5135369022092378;0.00034020206764312939;113.09733552923255;82496.665051581804;0;0;82496.665051581804;82396.665051581804;0.0019024537190867202;12;154;
0;5;0.10000000000000001;1;15.189311229882382;0.00034946339004722569;113.09733552923255;172.90102391596034;0;0.72702898562400564;173.62805290158437;73.628052901584368;-0.78933819842623087;1;147;
0;5;0.01;1;7.2721438255645445;0.00035033926802035447;113.09733552923255;3898.4318966250667;0;2.3732689352094032;3900.8051655602758;3800.8051655602758;-2.6127570128571631;1;158;
0;5;0.001;1;3.338349430493595;0.00033898065197818022;113.09733552923255;68797.808504135464;0;0.32797750650671531;68798.136481641952;68698.136481641952;-0.33752515216475798;1;156;
0;10;0;1;0.0006366866840683274;0.00034030484758387563;113.09733552923255;83171.348911908019;0;0;83171.348911908019;83071.348911908019;1.205270403026332E-05;5;184;
0;10;0.10000000000000001;1;0.52415951239540348;0.0003482568193470593;113.09733552923255;134.53868731785849;0;0.69328369605092088;135.23197101390943;35.231971013909416;-0.78551237652220363;4;187;
0;10;0.01;1;0.40671323371927948;0.00034982855379137306;113.09733552923255;8930.9640541098524;0;2.3214776821252152;8933.2855317919784;8833.2855317919784;-2.6337177306518589;4;185;
0;10;0.001;1;0.22788225656978378;0.00033955331076643074;113.09733552923255;57428.054074774351;0;0.31973663270382857;57428.373811407058;57328.373811407058;-0.37130860648368108;4;196;
0;20;0;1;1.9656113258792911E-05;0.00032296533128019396;113.09733552923255;57196.667854169107;0;0;57196.667854169107;57096.667854169107;1.1436592936136785E-06;37;691;
0;20;0.10000000000000001;1;0.088395123280684829;0.00032857946692779267;113.09733552923255;150.28458433590362;0;0.69520164200525281;150.97978597790888;50.979785977908875;-0.78664966983055629;37;711;
0;20;0.01;1;0.062286995977369253;0.00033942114384370839;113.09733552923255;11830.622415694594;0;2.3409785917651549;11832.963394286358;11732.96339428636;-2.6498121986876506;37;701;
0;20;0.001;1;0.035990903715580294;0.00032319107601802739;113.09733552923255;38157.180542578826;0;0.33863024888728865;38157.519172827713;38057.519172827713;-0.38664310074311198;39;696;
0;30;0;1;7.3117090783610511E-06;0.00031459496305353917;113.09733552923255;10066.439895946925;0;0;10066.439895946925;9966.4398959469254;3.3144004560266814E-07;160;1580;
0;30;0.10000000000000001;1;0.027572612964425595;0.00033684887372007399;113.09733552923255;366.79296464615896;0;0.69589535034023897;367.48885999649923;267.48885999649917;-0.78705675258899921;134;1547;
0;30;0.01;1;0.018925264044282568;0.00033196251447689332;113.09733552923255;35450.713893804001;0;2.3465098979678385;35453.060403701973;35353.060403701973;-2.6539389542898393;133;1517;
0;30;0.001;1;0.009181758938740547;0.00031845339268784574;113.09733552923255;38408.318062837367;0;0.3457197970543196;38408.663782634423;38308.663782634423;-0.39116003306608249;153;1534;
0;60;0;1;7.9502839941562997E-07;0.00031234219829940751;113.09733552923255;52381.690447560621;0;0;52381.690447560621;52281.690447560621;4.3526809050703596E-08;1080;9757;
0;60;0.10000000000000001;1;0.003464216097154514;0.0003271059995337675;113.09733552923255;434.27624242607396;0;0.69591340925969314;434.97215583533364;334.97215583533369;-0.78706995176649508;1027;9111;
0;60;0.01;1;0.0023166617235884698;0.00033162185369292667;113.09733552923255;36873.185820387436;0;2.3476638906711358;36875.533484278109;36775.533484278109;-2.6552030267211486;1123;9491;
0;60;0.001;1;0.00091237712280430342;0.00031444551374378948;113.09733552923255;43589.387549497711;0;0.34721971721171985;43589.734769214927;43489.734769214927;-0.39278121892434614;1370;9534;
30;5;0;1;1.6728718752361607;0.00020718718415789779;97.945165668647775;62276.733711452223;0;0;62276.733711452223;62176.733711452223;0.00054722181240652581;1;184;
30;5;0.10000000000000001;1;20.10068025053954;0.000183853011440457;97.945165668647775;1612.3036775445398;0;0.44748723972419635;1612.7511647842641;1512.7511647842641;-0.14066169556821578;1;169;
30;5;0.01;1;4.4136516058791644;0.00021718839472007292;97.945165668647775;15135.846323356762;0;2.755897982797916;15138.602221339559;15038.602221339559;-5.5976573833252736;1;185;
30;5;0.001;1;2.1080087842960662;0.00020891112466809168;97.945165668647775;41067.694625606004;0;0.35750066908918054;41068.052126275084;40968.052126275084;-0.61373921851592284;2;181;
30;10;0;1;0.00037407490065308245;0.00020892938926761015;97.945165668647775;63916.411404437531;0;0;63916.411404437531;63816.411404437531;2.34859232077638E-05;5;229;
30;10;0.10000000000000001;1;1.2244492966849692;0.00018535292411223496;97.945165668647775;1675.355995713996;0;0.41179255724280484;1675.7677882712389;1575.7677882712387;-0.13693173723604069;6;227;
30;10;0.01;1;0.45732356920084721;0.00021542749969555197;97.945165668647775;20458.383164730152;0;2.717730023192872;20461.100894753345;20361.100894753345;-5.5992195027518781;4;209;
30;10;0.001;1;0.2958178167608283;0.00021225705499440924;97.945165668647775;25984.240133900261;0;0.34801878309700313;25984.588152683351;25884.588152683351;-0.6485501924493362;4;212;
30;20;0;1;2.776046152151186E-05;0.00024095252960970454;97.945165668647775;49778.038095561395;0;0;49778.038095561395;49678.038095561387;2.9033230858268465E-06;41;661;
30;20;0.10000000000000001;1;0.20040180097778962;0.00021061993999306583;97.945165668647775;1190.4445283661139;0;0.40967306709681361;1190.8542014332109;1090.8542014332109;-0.13829762015506927;35;658;
30;20;0.01;1;0.06995024111395523;0.00021322483516711906;97.945165668647775;13726.621739801754;0;2.7444717368146727;13729.366211538567;13629.366211538567;-5.6213510022847863;40;602;
30;20;0.001;1;0.045191423191051364;0.00023840785110756222;97.945165668647775;25426.10649921927;0;0.37427316912209679;25426.480772388393;25326.480772388393;-0.67000885345517458;32;574;
30;30;0;1;1.0340792434327359E-05;0.00018133366290154572;97.945165668647775;36227.874729970055;0;0;36227.874729970055;36127.874729970055;8.3837776179946707E-07;116;1568;
30;30;0.10000000000000001;1;0.062443982572221897;0.00019258249022601745;97.945165668647775;2684.2295616747874;0;0.40890623619110705;2684.6384679109788;2584.6384679109788;-0.13870542418633036;140;1628;
30;30;0.01;1;0.021343989889620187;0.00018526029624583654;97.945165668647775;37293.061655545003;0;2.7520707087935627;37295.813726253808;37195.8137262538;-5.6272693106836851;129;1740;
30;30;0.001;1;0.011452584838757426;0.00018482257281143293;97.945165668647775;64450.152678847357;0;0.38457659039100178;64450.537255437746;64350.537255437746;-0.67647132251489761;138;1487;
30;60;0;1;1.1205298818833052E-06;0.00022595364220511066;97.945165668647775;69918.756632053148;0;0;69918.756632053148;69818.756632053148;1.0904720292661851E-07;1046;8539;
30;60;0.10000000000000001;1;0.007803224147413401;0.00020910332252216789;97.945165668647775;2822.1616342495163;0;0.40897345202177704;2822.5706077015379;2722.5706077015379;-0.13881869382790016;1147;10259;
30;60;0.01;1;0.0025889756724240941;0.00020175295728404411;97.945165668647775;33888.456787774485;0;2.7537249467383806;33891.210512721227;33791.21051272122;-5.6289665237912319;1356;9931;
30;60;0.001;1;0.0011336700618547078;0.00022316703625476045;97.945165668647775;59571.279807828294;0;0.38669029291937879;59571.666498121216;59471.666498121216;-0.6788535508404645;1119;8921;
60;5;0;1;1.4518396137745939;9.1487795071567394E-05;56.54866776461629;42385.563271629784;0;0;42385.563271629784;42285.563271629791;-0.0068217891760410021;1;161;
60;5;0.10000000000000001;1;7.2529020927501628;0.00012740583466103154;56.54866776461629;18474.237070116436;0;0.51635879457837319;18474.753428911012;18374.753428911012;1.1434746152639375;1;163;
60;5;0.01;1;5.1059173850131572;0.00015219406265932716;56.54866776461629;61612.208731368548;0;4.0179256209060137;61616.226656989464;61516.226656989456;-6.0017324069527787;1;162;
60;5;0.001;1;2.2526148191547102;9.5819593265337069E-05;56.54866776461629;77925.293495575097;0;0.7385407989720163;77926.032036374061;77826.032036374061;-0.85980243763199726;2;167;
60;10;0;1;0.00038568798308145512;9.3894393463805637E-05;56.54866776461629;37532.177488164656;0;0;37532.177488164656;37432.177488164656;4.5465638507148595E-05;5;205;
60;10;0.10000000000000001;1;1.7707725524795055;0.00013046625158371733;56.54866776461629;22280.369947884417;0;0.44287253307500041;22280.812820417494;22180.812820417494;1.1623346432497745;4;205;
60;10;0.01;1;0.38631926497757196;0.00015576735548003396;56.54866776461629;70178.829837076657;0;3.9714519769967813;70182.801289053663;70082.801289053663;-5.9782008035730492;4;205;
60;10;0.001;1;0.30082238550578466;0.00010095557974573827;56.54866776461629;104444.63602552407;0;0.69926481583465805;104445.33529033991;104345.33529033991;-0.90225320483470084;5;203;
60;20;0;1;3.7531825978579482E-05;0.00022475611581831146;56.54866776461629;33612.883318675515;0;0;33612.883318675515;33512.883318675515;5.675900299261538E-06;40;692;
60;20;0.10000000000000001;1;0.30928097854005104;0.00021541447819373879;56.54866776461629;12242.543718264067;0;0.43396272692838439;12242.977680990996;12142.977680990996;1.1635803208248692;42;802;
60;20;0.01;1;0.063048131423514994;0.00021306761089802707;56.54866776461629;32707.551567559229;0;4.0019765920222179;32711.553544151251;32611.553544151251;-5.9855831003876983;47;807;
60;20;0.001;1;0.049006437124210316;0.00023133318635077912;56.54866776461629;21053.577423114431;0;0.75915287480883298;21054.33657598924;20954.336575989237;-0.93055416543211378;40;755;
60;30;0;1;1.4096751982457625E-05;0.00015291923850776197;56.54866776461629;153980.76886292285;0;0;153980.76886292285;153880.76886292288;1.6453074704121645E-06;134;1731;
60;30;0.10000000000000001;1;0.098401556065036574;0.00017500802676100773;56.54866776461629;28019.009713973348;0;0.43083663436273478;28019.440550607716;27919.440550607716;1.1634954082915565;189;2730;
60;30;0.01;1;0.019492001005981835;0.00015521556517776507;56.54866776461629;85574.769083823747;0;4.0115239259663502;85578.780607749723;85478.780607749708;-5.9889725050994773;163;1766;
60;30;0.001;1;0.012880807656264351;0.00014211314105394934;56.54866776461629;184536.94590736585;0;0.7837821338800226;184537.72968949977;184437.72968949977;-0.93963629833459572;122;1553;
60;60;0;1;1.5129513476178459E-06;0.00024292218669652664;56.54866776461629;121675.68361824771;0;0;121675.68361824771;121575.68361824774;2.1174234133957343E-07;1434;10100;
60;60;0.10000000000000001;1;0.011843140729558312;0.0002204364357815336;56.54866776461629;22960.403051079276;0;0.43089446064667375;22960.833945539922;22860.833945539922;1.1635905455494766;1128;8526;
60;60;0.01;1;0.0023275627878576958;0.00021160114207423834;56.54866776461629;59012.104267515009;0;4.0129380442602969;59016.117205559269;58916.117205559269;-5.9890534427729332;1047;8562;
60;60;0.001;1;0.0012538588862925312;0.00024248929410587358;56.54866776461629;120299.69864376544;0;0.78853446137068706;120300.48717822683;120200.48717822683;-0.94282347993944859;1028;8344;
